IQ-tree	Phylogenies	Strain	Clade-Leducq2021	Clade-Alessa2021	Species	Environment	Alias		
198	st199	WL6	A6	-	Meth_sp	Phyllosphere	-		
199	st200	WL64	A9	-	Meth_sp	Phyllosphere	-		
200	st201	WL69	A1	-	Meth_sp	Phyllosphere	-		
201	st202	WL8	A6	-	Meth_sp	Phyllosphere	-		
202	st203	WL9	A4	-	Meth_sp	Phyllosphere	-		
203	st204	WL93	A6	-	Meth_sp	Phyllosphere	-		
204	st205	WSM3557	-	-	Micr_lotononidis	-	-		
205	st206	XJLW	A9	-	Meth_sp	Anthropo/Water	-		
206	st207	YC-XJ1	B	-	Meth_populi	Unknown	-		
207	st208	YIM132548	A5	a2	Meth_planium	Lichen	NBRC114056T		
208	st209	YIM48816	A5	a2	Meth_soli	Soil	KCTC22810T		
209	st210	YL-MPn5-2016	A9	-	Meth_sp	Water	-		
210	st211	YL-MPn6-2016	A9	-	Meth_sp	Water	-		
211	st212	yr596	C	-	Meth_sp	Rhizhosphere	-		
212	st213	yr668	A9	-	Meth_sp	Rhizhosphere	-		
