"Genomes" "Leducq2021" "Alessa2021" "Species" "NamePhylo" "NameStrains" "AvPS" "SdPS" "MinPS" "MaxPS" "-" "Air" "Anthropo" "Endophyte" "Food" "Fungus" "Lake" "Lichen" "Microbiome" "Ocean" "Phyllosphere" "Plant" "Rhizhosphere" "Sediments" "Seed" "Skin" "Soil" "Space" "Unknown" "Water"
"5" "A1" "" "Meth_sp" "st95_st96_st101_st111_st114" "Leaf100;Leaf102;Leaf112;Leaf469;Leaf87" "0.991691161825215" "0.000428509408585088" "0.991010134030729" "0.992376037867619" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"5" "A1" "" "Meth_sp" "st100_st109_st115_st116_st119" "Leaf111;Leaf465;Leaf88;Leaf89;Leaf94" "0.991016045477756" "0.00030978178485916" "0.990568191308705" "0.991567677116363" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"2" "A1" "" "Meth_sp" "st102_st103" "Leaf113;Leaf117" "0.990648225351176" NA "0.990648225351176" "0.990648225351176" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"2" "A1" "" "Meth_sp" "st105_st191" "Leaf125;V23" "0.989375546867212" NA "0.989375546867212" "0.989375546867212" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.5" "0" "0" "0" "0" "0" "0" "0" "0" "0.5"
"2" "A1" "" "Meth_sp" "st120_st201" "Leaf99;WL69" "0.988971353263508" NA "0.988971353263508" "0.988971353263508" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "A1" "a1" "Meth_gossipiicola" "st69" "Gh-105" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "A10" "" "Meth_sp" "st81" "J-067" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "A10" "" "Meth_sp" "st85" "J-076" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "A2" "" "Meth_sp" "st1" "10" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1"
"1" "A2" "" "Meth_sp" "st18" "77" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1"
"1" "A2" "" "Meth_sp" "st64" "E-045" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "A2" "" "Meth_sp" "st118" "Leaf93" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"2" "A2" "" "Meth_sp" "st113_st117" "Leaf86;Leaf91" "0.999676528819609" NA "0.999676528819609" "0.999676528819609" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"5" "A2" "a1" "Meth_sp_Meth_bullatum" "st19_st98_st112_st129_st196" "88A;Leaf106;Leaf85;DSM21893T;WL19" "0.985880755637443" "0.00465601898282205" "0.98216381943463" "0.993926552039129" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0.8" "0" "0" "0" "0" "0" "0" "0" "0" "0.2"
"3" "A3" "" "Meth_sp" "st99_st107_st110" "Leaf108;Leaf399;Leaf466" "0.992257144125578" "0.000160132186311825" "0.992085112751116" "0.992401864341966" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"2" "A4" "b2" "Meth_thuringiense_Meth_sp" "st146_st203" "DSM23674;WL9" "0.998745245436745" NA "0.998745245436745" "0.998745245436745" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "A4" "b2" "Meth_haplocladii" "st158" "NBRC107714" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "A4" "b2" "Meth_gnaphalii" "st160" "NBRC107716" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "A4" "b2" "Meth_brachythecii" "st55" "DSM24105" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "A5" "a2" "Meth_soli" "st209" "YIM48816" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0"
"1" "A5" "a2" "Meth_segetis" "st5" "17J42-1" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0"
"1" "A5" "a2" "Meth_planium" "st208" "YIM132548" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "A5" "a2" "Meth_oxalidis" "st159" "NBRC107715" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "A5" "a2" "Meth_durans" "st7" "17SD2-17" "1" NA "1" "1" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0"
"9" "A6" "" "Meth_sp" "st61_st62_st63_st80_st90_st193_st198_st199_st204" "E-016;E-025;E-041;J-059;J-092;WL119;WL30;WL6;WL93" "0.99329275085423" "0.00201087219128785" "0.992136272351134" "0.999980321656579" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"4" "A6" "a" "Meth_cerastii_Meth_sp" "st130_st194_st195_st202" "DSM23679T;WL12;WL120;WL8" "0.992774151863795" "0.00310833045577301" "0.990638288304746" "0.99903367651277" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "A7" "" "Meth_radiodurans" "st11" "17Sr1-43" "1" NA "1" "1" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0"
"2" "A7" "a5" "Meth_sp_Meth_hispanicum" "st39_st134" "CCH5-D2;DSM16372T" "0.999967205588168" NA "0.999967205588168" "0.999967205588168" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1"
"1" "A8" "" "Meth_symbioticum" "st180" "SB0023/3" "1" NA "1" "1" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "A8" "a5" "Meth_dankookense" "st182" "SW08-7" "1" NA "1" "1" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1"
"1" "A9" "" "Meth_sp" "st15" "2A" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0"
"1" "A9" "" "Meth_sp" "st60" "E-005" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "A9" "" "Meth_sp" "st66" "E-065" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "A9" "" "Meth_sp" "st76" "J-026" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "A9" "" "Meth_sp" "st77" "J-030" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "A9" "" "Meth_sp" "st79" "J-048" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "A9" "" "Meth_sp" "st83" "J-070" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "A9" "" "Meth_sp" "st86" "J-077" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"1" "A9" "" "Meth_sp" "st88" "J-088" "1" NA "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"8" "A9" "" "Meth_sp" "st3_st12_st13_st14_st28_st106_st187_st213" "13MFTsu3.1M2;190mf;275MFSha3.1;285MFTsu5.1;BK227;Leaf361;UNC300MFChir4.1;yr668" "0.988316701369162" "0.00129751260913972" "0.986997963069566" "0.993953075868741" "0" "0" "0" "0.125" "0" "0" "0" "0" "0" "0" "0.125" "0.625" "0.125" "0" "0" "0" "0" "0" "0" "0"
"2" "A9" "" "Meth_sp" "st67_st84" "E-066;J-072" "0.975215168759255" NA "0.975215168759255" "0.975215168759255" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0"
